STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND
45,1008,1,1974,31
45,1008,1,1975,33
45,1008,1,1976,34
45,1008,1,1977,36
45,1008,1,1978,38
45,1008,1,1979,39
45,1008,1,1980,41
45,1008,1,1981,43
45,1008,1,1982,45
45,1008,1,1983,48
45,1008,1,1984,68
45,1008,1,1985,50
45,1008,1,1986,49
45,1008,1,1987,47
45,1008,1,1988,61
45,1008,1,1989,85
45,1008,1,1990,62
45,1008,1,1991,95
45,1008,1,1992,81
47,3075,1,1971,38
47,3075,1,1972,49
47,3075,1,1973,47
47,3075,1,1974,54
47,3075,1,1975,57
47,3075,1,1976,60
47,3075,1,1977,58
47,3075,1,1978,60
47,3075,1,1979,57
47,3075,1,1980,74
47,3075,1,1981,79
47,3075,1,1982,72
47,3075,1,1983,77
47,3075,1,1984,87
47,3075,1,1985,108
47,3075,1,1986,108
47,3075,1,1987,129
47,3075,1,1988,130
47,3075,1,1989,129
47,3075,1,1990,140
47,3075,1,1991,153
47,3075,1,1992,76
47,3075,1,1993,106
47,3075,1,1994,136
47,3075,1,1995,153
47,3075,1,1996,159
47,3075,1,1997,166
47,3075,1,1998,423
47,3075,1,1999,154
47,3075,1,2000,159
47,3075,1,2001,418
47,3075,1,2002,132
48,1049,1,1984,1169
48,1049,1,1985,1099
48,1049,1,1986,1103
48,1049,1,1987,1157
48,1049,1,1988,1169
48,1049,1,1989,1208
48,1049,1,1990,901
48,1049,1,1991,924
48,1049,1,1992,1052
48,1049,1,1993,1322
48,1049,1,1994,1334
48,1049,1,1995,1338
48,1049,1,1996,1376
48,1060,1,1986,449
48,1060,1,1987,438
48,1060,1,1988,513
48,1060,1,1989,498
48,1060,1,1990,592
48,1060,1,1991,673
48,1060,1,1992,745
48,1060,1,1993,684
48,1060,1,1994,744
48,1060,1,1995,761
48,1060,1,1996,905
48,1060,1,1997,1066
48,1060,1,1998,991
48,1060,1,1999,1178
48,1060,1,2000,1305
48,3559,1,1970,98
48,3559,1,1971,106
48,3559,1,1972,112
48,3559,1,1973,116
48,3559,1,1974,122
48,3559,1,1975,155
48,3559,1,1976,148
48,3559,1,1977,164
48,3559,1,1978,152
48,3559,1,1979,153
48,3559,1,1980,172
48,3559,1,1981,179
48,3559,1,1982,186
48,3559,1,1983,197
48,3559,1,1984,205
48,3559,1,1985,234
48,3559,1,1986,248
48,3559,1,1987,273
48,3559,1,1988,297
48,3559,1,1989,316
48,3559,1,1990,126
48,3559,1,1991,116
48,3559,1,1992,154
48,3559,1,1993,153
48,3559,1,1994,209
48,3559,1,1995,179
48,3559,1,1996,206
48,3559,1,1997,216
48,3559,1,1998,220
48,3559,1,1999,208
48,3609,1,1974,129
48,3609,1,1975,109
48,3609,1,1976,122
